Obsidian Sourcing Document,Document Name,Endnote Reference,Rank,XRF?,Full Citation,,,,,,,,,,,,,,,,,,,,,,,
,Aggen 2007,"""{Aggen, 2007 #10868}""",,,Aggen* Kerry L. 2007. Provenance Sourcing of Obsidian Artifacts from Managua* Nicaragua* Using Trace Element Geochemistry* Colorado School of Mines.,,,,,,,,,,,,,,,,,,,,,,,
,Alloway et al. 2004,"""{Alloway, 2004 #10869}""",,,Alloway* Brent V* Agung Pribadi* John A. Westgate* Michael Bird* L. Keith Fifield* Alan Hogg* and Ian Smith. 2004. Correspondence Between Glass-FT and 14C Ages of Silic Pyroclastic Flow Deposits Sourced from Maninjua Caldera* West-Central Sumatra. Earth and Planetary Science Letters 227:121-133.,,,,,,,,,,,,,,,,,,,,,,,
,Ambrose and Johnson 1986,"""{Ambrose, 1986 #10870}""",,,Ambrose* W. R.* and R. W. Johnson. 1986. Unea: An Obsidian Non-Source in Papua New Guinea. Journal of Polynesian Society 95(4):491-497.,,,,,,,,,,,,,,,,,,,,,,,
,Ambrose et al. 2009,"""{Ambrose, 2009 #10871}""",,,Ambrose* Wal* Charollete Allen* Sue O'connor* Matthew Spriggs* Nuno Vasco Oliviera* and Christian Reepmeyer. 2009. Possible Obsidian Sources for Artifacts from Timor: Narrowing the Options Using Chemical Data. Journal of Archaeological Science 36:607-615.,,,,,,,,,,,,,,,,,,,,,,,
,Ambroz 1997,"""{Ambroz, 1997 #10872}""",,,Ambroz* Jessica Ann. 1997. Characterization of Archaeologically Significant Obsidian Sources in Oregon by Neutron Activation Analysis* University of Missuri-Columbia.,,,,,,,,,,,,,,,,,,,,,,,
,Ambroz et al. 2001,"""{Ambroz, 2001 #10873}""",,,Ambroz* Jessica A.* Michael D. Glascock* and Craig E. Skinner. 2001. Chemical Differentiation of Obsidian within the Glass Buttes Complex* Oregon. Journal of Archaeological Science 28:741-746.,,,,,,,,,,,,,,,,,,,,,,,
,Anderson et al. 1997,"""{Anderson, 1997 #10874}""",10,x,Anderson* Atholl* Wal Ambrose* Foss Leach* and Marshall Weisler. 1997. Material Sources from Basalt and Obsidian Artefacts from a Prehistoric Settlement Site on Norfolk Island* SOuth Pacific. Archaeology Oceania 32:607-615.,,,,,,,,,,,,,,,,,,,,,,,
,Arias et al. 2006,"""{Arias, 2006 #10875}""",,,Arias* A.* M. Oddone* G. Bigazzi* A. Di Muro* C. Principe* and P. Norelli. 2006. New Data for the Characterisation of Milos Obsidians. Journal of Radioanalytical and Nuclear Chemistry 268(2):371-386.,,,,,,,,,,,,,,,,,,,,,,,
,Bailey et al. 1982,"""{Bailey, 1982 #10878}""",,,Bailey* J. C.* W. R. Morgan* and L.  P. Black. 1982. Geochemical and Isotope Evidence for the Age* Orogenic  Setting* and Petrogenesis of the Nychum Volcanic Association* Northern Queensland. Journal of the Geological Society of Australia 29:375-393.,,,,,,,,,,,,,,,,,,,,,,,
,Baker et al. 1973,"""{Baker, 1973 #10881}""",,,Baker* P. E. * R. Brosset* I. G. Gass* and C. R. Neary. 1973. Jebel al Abyad: A Recent Alkalic Volcanic Complex in Western Saudi Arabia. Lithos 6:291-314.,,,,,,,,,,,,,,,,,,,,,,,
,Baker 1974,"""{Baker, 1974 #10879}""",10,x,Baker* P. E. 1974. Peralkaline Acid Volcanic Rocks of Oceanic Islands. Bulletin of Volcanologique 38(2):727-754.,,,,,,,,,,,,,,,,,,,,,,,
