Continent,Region/Plate,Archaeological Grouping,Country,State (or the like),Group Serial,Source General,Source Common Name,Obsidian Age,Secondary Age,Ages Average,Formation Type,Boundary Activity,Boundary Type,Crust Type,Normative Occurrence,Latitude,Longitude,Loc. Notes,Conservative Grouping,Hypothetical Grouping,Tool Quality,Type,Geology,Ethnominerology,Other Names,Bibliographies,,,,,,,,,,,,,,,,,,,
Africa,Congo,Congo,Cameroon,Littoral,G-CAM001,Mount Manengouba,Mount Manengouba,,2.6-0,1.3,Pyroclastic Cones,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,4.98,9.915,,,West African Rift,,Obsidian,"""Large blocks of obsidian can be found on the southern slopes of Mount Manengouba, near the town of N'Kongsamba, Cameroon (Macdonald et al. 1992).""","""Tool manufacturing from this source has likely been identified at the nearby archaeological site of Shum Lake, although they have not been geochemically confirmed (Cornelissen 2003).""",,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Cornelissen, Els. 2003. On Microlithic Quartz Industries at the End of the Pleistocene in Central Africa: The Evidence from Shum Lake (NW Cameroon). African Archaeological Review 20(1):1-24. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Macdonald, R., R. L. Smith, and J. E. Thomas. 1992. Chemisty of Subalkalic Silicic Obsidians. U. S. Geological Survey Professional Papers 1523.""",,,,,,,,,,,,,,,,,,,
Africa,Atlantic,Atlantic,Cape Verde,Cape Verde,G-CPV001,Ilhéus Secos,Ilhéus Secos,,,,,Hotspot,Intraplate,Oceanic,Extensional Zone in Oceanic Basin,14.971,-24.685,LOCATION ONLY,,,,Obsidian,,, ,"""Mitchell-Thome, Raoul C. 1972. Outline of the Geology of the Cape Verde Archipelago. Geologishe Rundschau 61(3):1087-1109.""",,,,,,,,,,,,,,,,,,,
Africa,Sahara,Sahara,Chad,Tibesti,G-CHD001,Tibesti,Tibesti,,3,1.2,Hybrid Scoria Kones and Shield Volcano,Hotspot,Intraplate,Continental,Extensional Zone in Cratonic Continental Interior,21.152,15.629,,,West African Rift,,Obsidian,"""The Tibesti Volcanic complex has produced obsidian that can be found in a wide area, usually in pumice layers dating to around 2.2-3 mya. Notable deposits can be found in the far west of the complex on a series of cliffs, several volcanos in the center of the complex, and from the volcano of Emi Koussi in the southeast (Gourgaud and Vincent 2004).""",,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Cann, J. R., and Colin Renfrew. 1964. Characterization of Obsidian and its Application to the Mediterranean Region. The Prehistory Society 8:111-112. ; Gourgaud, A., and P. M. Vincent. 2004. Petrology of Two Continental Alkaline Intraplate Series at Emi Koussi Volcano, Tibesti, Chad. Journal of Volcanology and Geothermal Research 129:261-290. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Djibouti,Tadjourah,G-DJI001,Dergoli,Dergoli,, ,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,11.969,42.486,LOCATION ONLY,,Afar Triangle,,Obsidian,,,,"""Khalidi, Lamya, Clive Oppenheimer, Bernard Gratuze, Sophie Boucetta, Ali Sanabani, and Ahmed Al-Mosabi. 2010. Obsidian Sources in Highland Yemen and their Relevance to Archaeological Research in the Red Sea Region. Journal of Archaeological Science 37:2332-2345.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Eritrea,Northern Red Sea,G-ERT001,Arafali,Arafali,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,14.815,39.965,,,Afar Triangle,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Cann, J. R., and Colin Renfrew. 1964. Characterization of Obsidian and its Application to the Mediterranean Region. The Prehistory Society 8:111-112.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Eritrea,Eritrea,G-ERT002,Kusrale,Kusrale,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Afar Triangle,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Eritrea,Northern Red Sea,G-ERT003,Alid,Alid,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,14.934,39.887,LOCATION ONLY,,Afar Triangle,,Obsidian,,,,"""Khalidi, Lamya, Clive Oppenheimer, Bernard Gratuze, Sophie Boucetta, Ali Sanabani, and Ahmed Al-Mosabi. 2010. Obsidian Sources in Highland Yemen and their Relevance to Archaeological Research in the Red Sea Region. Journal of Archaeological Science 37:2332-2345.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Oromia,G-ETH001,Abadir,Abadir,,3,3,Pyroclastic Stratovolcano,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,8.746,39.878,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Negash, Agazi, Mulugeta Alene, F. H. Brown, B. P. Nash, and M. S. Shackley. 2007. Geochemical Sources for the Terminal Pleistocene/Early Holocene Obsidian Artifacts of the Site of Beseka, Central Ethiopia. Journal of Archaeological Science 34:1205-1210. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC. ; Woldegabriel, Giday, James L. Aronson, and Robert C. Walter. 1990. Geology, Geochronology, and RIft Basin Development in the Central Sector of the Main Ethiopia Rift. Geology Society of America Bulletin 102:439-458.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Ethiopia,G-ETH002,Addid Ababa,Addid Ababa,,,,,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,,,,,Main Ethiopia RIft,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791.""",,,,,,,,,,,,,,,,,,,
Africa,African Rift,African Rift,Ethiopia,Afar,G-ETH003,Ado Ale Complex,Ado Ale Complex,,0,0,Fissure Vents,Active,Divergent,Continental,Extensional Zone in Cratonic Continental Interior,12.413,42.163,LOCATION ONLY,,Afar Triangle,,Obsidian,,,,"""IAOS. n. d. International Association for Obsidian Studies: World Obsidian Source Catalog. IAOS World Obsidian Source Catalog, Northwest Research and the Archaeometry Laboratory at MURR. ; Ebinger, C. J., and N. H. Sleep. 1998. Cenozoic Magmatism Throughout East Africa Resulting from the Impact of a Single Plume. Nature 395:788-791. ; Global Volcanism Program, 2013. 2013. Volcanoes of the World v. 4.6.2, http://dx.doi.org/10.5479/si.GVP.VOTW4-2013, Smithsonian Institution, Washington DC.""",,,,,,,,,,,,,,,,,,,
