,,,,,,,,,,
NOTES,,,,,,,,,,
,Smith et al. 1977 cites Hawaii as a source - this needs to be sourced against the actual sources,,,,,,,,,
,"There are two sources called ""Magdalena"" - one in NM and one in MEX. Need to find out if data is in correct place. The NM source will be called - internally - NEW MAGDALENA",,,,,,,,,
,Thomas 2009 (Rapa Nui) data is not sourced* but the doc does provide a labeled ratio graph and we  have data on individual sources - need to source Thomas 2009,,,,,,,,,
,"Davis et al. 1995 and Hughes 2007b identify the Powder River source in Montana as 'NonVolcanic Glass"" (There is a Y vs Sr graph in the Hughes document) - include as an obsidian or delegate to the ranks of chert* tektite* clink* etc. and not provide data",,,,,,,,,
,Need to sort thru Sahul to Sunda and out thru Polynesian regions - area uses 'glass'  to refer to ALL volcanic glass* not just obsidian,,,,,,,,,
,There are two volcanic formations named Aqua Fria* one in Sonora and the other in New Mexico - data should only be from Mexico* but should double check,,,,,,,,,
,,,,,,,,,,
DIVERSE MESOAMERICAN SOURCES,,,,,,,,,,
,G-GUA010,San Martin Jilotepeque,Sr and Zr,,,,,,,
,G-MEX015,Sierra Fresnal,Rb,,,,,,,
,G-MEX054,Navajas,"Rb, Y, and Zr",,,,,,,
,G-MEX069,Ixtlan del Rio,Sr,,,,,,,
,G-MEX073,Guadalupe Victoria,Rb and Zr,,,,,,,
,G-MEX075,Zaragoza,All,,,,,,,
,G-MEX082,Pico de Orizaba,All,,,,,,,
,G-MEX097,Los Humeros,All,,,,,,,
,,,,,,,,,,
RANKING SYSTEM,,,,,,,,,,
,Cut out all but XRF. If you have n=30. If u have 30* no advantage.,,,,,,,,,
,How much difference there is. Med is fine. Take Shackley’s whole career XRF.,,,,,,,,,
,Shackley - most of the west coast. Bruce provides Great Basin. Mike has done central and South America with NAA.,,,,,,,,,
,Send Tykot an email for his map.,,,,,,,,,
,Robbin Torrence - Australia and Oceania. Some work in Korea. XRF.,,,,,,,,,
,Northeast Asia - Jeff speakman + mike glasscock. Kuzmin persona non grata.,,,,,,,,,
,Stan Ambrose - Africa* uses XRF.,,,,,,,,,
,Beyond Steve shackley - work done by penn and Stan Ambrose - don’t look beyond them. Richard Hughes and Skinner. Tykot. German guy in Turkey. Gerald Pupaul (sp?). Robbin Torrence Oceania. Kirstin Retmeyer.,,,,,,,,,
,Hu helped by shackley. Measured a source in Peru.,,,,,,,,,
,Figure out the best areas. Invite people from other areas who are coming from a conference to bring geological samples.,,,,,,,,,
,Mutt. Craig skinnner is no longer working - the person who took over obsidian northwest. Corvalis. Don’t bother with Richard Hughes. Always Shackley. Get the opinion of others in a region. Ellory Frahm has the geological samples.,,,,,,,,,
,Basically* these methods and names  = 1. Leave everything else as a 10. We can then go through and decide how to rank those that fall in the middle.,,,,,,,,,
,,,,,,,,,,
,Yay,,Nay,,,,,,,
,Steven Shackley,,Kuzmin,,,,,,,
,Robin Torrence,,Richard Hughes,,,,,,,
,Jeff Speakman,,,,,,,,,
,Steven Glascock,,,,,,,,,
,Stan Ambrose,,,,,,,,,
,Gerald Pupaul,,,,,,,,,
,Christian Reepmeyer,,,,,,,,,
,Craig Skinner,,,,,,,,,
,Ellery Frahm,,,,,,,,,
,,,,,,,,,,
,Also any personal communications (eg Kaiser* Reimer* Uemine* etc.),,,,,,,,,
,"NEW ORDER = These authors are 1 regardless of method, all else a 10",,,,,,,,,
,,,,,,,,,,
MULTIPLE GUIDE:,,,,,,,,,,
,Serial,Dominant Serial?,Source.General,Source.Common.Name,,,,,,
,UWA001,x,Agnes Creek,Agnes Creek A,,,,,,
,UWA002,,Agnes Creek,Agnes Creek B,,,,,,
,UWA023,,Agnes Creek,Agnes Creek Group general,,,,,,
,ARM001,x,Akhurian,Akhurian 1,,,,,,
,ARM002,,Akhurian,Akhurian 2,,,,,,
,PER003,x,Alca,Alca-1,,,,,,
,PER004,,Alca,Alca-2,,,,,,
,PER005,,Alca,Alca-3,,,,,,
,UNM042,,Antelope Creek,Antelope Creek West,,,,,,
,UNM047,,Antelope Creek,Antelope Creek Group General,,,,,,
,UNM041,x,Antelope Wells,Antelope Creek East,,,,,,
,ARM003,x,Arteni,Arteni 1,,,,,,
,ARM004,,Arteni,Arteni 2,,,,,,
,ARM005,,Arteni,Arteni 3,,,,,,
,ARM039,,Arteni,Arteni Group General,,,,,,
,ARM025,,Arterni,Arteni 3b,,,,,,
,JPN002,x,Asahikawa,Asahikawa Group General,,,,,,
,JPN083,,Asahikawa,Asahikawa-Higashitakasu,,,,,,
,JPN084,,Asahikawa,Asahikawa-Syunkodai,,,,,,
,ETH010,x,Axum,Axum A,,,,,,
,ETH011,,Axum,Axum D,,,,,,
,uca002,x,Backbone Ridge,,,,,,,
,uca064,,Backbone Ridge,,,,,,,
,uca065,,Backbone Ridge,,,,,,,
,uca066,,Backbone Ridge,,,,,,,
,RUS002,x,Basaltic Plateau,Basaltic Plateau-1,,,,,,
,RUS003,,Basaltic Plateau,Basaltic Plateau-2,,,,,,
,RUS004,,Basaltic Plateau,Basaltic Plateau-3,,,,,,
,RUS030,,Basaltic Plateau,Basaltic Plateau Group General,,,,,,
,ARM008,x,Bazenk,Bazenk Group General,,,,,,
,ARM026,,Bazenk,Bazenk 1,,,,,,
,ARM027,,Bazenk,Bazenk 2,,,,,,
,UOR005,x,Beatys Butte,Beatys Butte A,,,,,,
,UOR006,,Beatys Butte,Beatys Butte B,,,,,,
,UOR148,,Beatys Butte,Beatys Butte Group General,,,,,,
,TKY051,,Bingöl Dag,Bingöl Dag Group General,,,,,,
,tky001,x,Bingöl Dag,,,,,,,
,tky002,,Bingöl Dag,,,,,,,
,UID052,x,Blackfoot Volcanic Field,Blackfoot Volcanic Field North Cone,,,,,,
,UID053,,Blackfoot Volcanic Field,Blackfoot Volcanic Field Middle Cone,,,,,,
,UID054,,Blackfoot Volcanic Field,China Hat,,,,,,
,ken002,x,Bogoria South,,,,,,,
,ken003,,Bogoria South,,,,,,,
,KEN066,x,Broad Acres,Broad Acres 1,,,,,,
,KEN067,,Broad Acres,Broad Acres 2,,,,,,
,ARG003,x,Caldera Vilama,Caldera Vilama-1,,,,,,
,ARG004,,Caldera Vilama,Caldera Vilama-2,,,,,,
,ECU003,x,Callejones,Callejones-1,,,,,,
,ECU004,,Callejones,Callejones-2,,,,,,
,ECU021,,Callejones,Callejones Group General,,,,,,
,UID007,x,Cannonball Mountain,Cannonball Mountain Group General,,,,,,
,UID047,,Cannonball Mountain,Cannonball Mountain 1,,,,,,
,UID048,,Cannonball Mountain,Cannonball Mountain 2,,,,,,
,HUN001,x,Carpathian,Caparthian 1,,,,,,
