,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,G.O.D.,Continent Known,Continent Catalogued,Continent Missing,Continent % Complete,,,,,,,,,
,Africa,138,103,35,74.6376811594203,,,,,,,,,
,Atlantic,35,28,7,80,,,,,,,,,
,Antarctica,8,6,2,75,,,,,,,,,
,Asia,204,152,52,74.5098039215686,,,,,,,,,
,Europe,65,54,11,83.0769230769231,,,,,,,,,
,Mesoamerica,111,98,13,88.2882882882883,,,,,,,,,
,Middle East,146,114,32,78.0821917808219,,,,,,,,,
,North America,569,433,136,76.0984182776801,,,,,,,,,
,Pacific,132,117,15,88.6363636363636,,,,,,,,,
,South America,127,108,19,85.0393700787402,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Total Known,1535,,,,,,,,,
,,,,Total Catalogued,1213,,,,,,,,,
,,,,Total Missing,322,,,,,,,,,
,,,,Total % Complete,79.0228013029316,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
