,,,,,,,,,,,
,Serial Base,name,DMS Lat,DMS Long,Deg Lat,Deg Long,notes,,,,
,ANT,Deception Island,x,x,-62.933,-60.566,,,,,
,ANT,South Sandwich Island N 1962,-55.55.0,-28.6.0,-55.916666666,-28.1,Zavodovski Island* South Sandwich,,,,
,CAM,Manengouba,x,x,x,x,Lower Slopes of Mnt Man.* near town of N'kongsamba,,,,
,ECU,Alcedo,x,x,-0.43361,-91.0838,,,,,
,ECU,Caldera Chacana,x,x,-0.5,-78.2,,,,,
,GUA,El Fiscal,14.44,-90.213,14.7333,-90.35083333,,,,,
,ICE,Askja 1875,65.2.0,16.42.0,65.033333333,-16.7,,,,,
,ICE,Baejargil Stream,64.41.0,20.54.0,64.683333,-20.9,,,,,
,ICE,Berufjordur,x,x,x,x,,,,,
,ICE,Domadalshraun,64.02.0,19.07.0,64.0333,-19.11666666666,,,,,
,ICE,Gaesafjoll Complex Little Krafle,x,x,x,x,,,,,
,ICE,Hrafntinnuhraun,63.58.0,19.16.0,63.966666666,-19.26666,,,,,
,ICE,Hrafntinnuhryggur,65.6.04,16.43.37,65.101111111111,-16.726944444,,,,,
,ICE,Hrafntinnuhryggur,x,x,65.101111111111,-16.726944444,,,,,
,ICE,Kerlingarfjoll,63.51.84,19.15.16,63.85233333333,-19.254444444,Updated Original,,,,
,ICE,Kerlingarfjoll Lodmundar Mountain,64.39.0,19.13.0,64.65,-19.21666,,,,,
,ICE,Laugahraun,63.59.0,19.06.0,63.983333333,-19.1,,,,,
,ICE,Ljosufjoll,64.56.0,22.34.0,64.933333333,-22.566666,,,,,
,ICE,Oraefajokull,63.56.0,16.44.0,63.93333333333,-16.733333333,Updated Original,,,,
,ICE,Prestahnukur,63.45.31,20.42.0,63.7586111111,-20.7,2nd dep. from Prestahnukur,,,,
,ICE,Reydarfell Dome,64.41.0,20.55.0,64.68333333,-20.9166666,,,,,
,ICE,Ulfarsfellsna,64.58.5,22.37.0,64.968055555,-22.6166666,,,,,
,ICE,Vatnajokull,x,x,x,x,,,,,
,JVA,Daradjat-Pasir Kiamis,-7.13.64,107.45.82,-7.2184444,107.7522777777,Might be same as Samarang?,,,,
,JVA,Gunung Kiaraberes,-6.43.0,106.41.0,-6.716666666,106.68333,,,,,
,JVA,Nagrek,x,x,x,x,,,,,
,JVA,Samarang,-7.13.09,107.50.45,-7.2191666666666,107.8458333333,AKA Garut,,,,
,KRK,Gunung Krakatau,-6.09.0,105.25.5,-6.15,105.418055555,1883,,,,
,MAL,Mount Alon,1.20.0,127.29.0,1.3333333333,127.48333,,,,,
